judge,query_id,question_kr,system,R1_accuracy,R2_coverage,R3_evidence_level,R4_citation_verify,R5_clinical_usefulness,total,best_worst,comment
Gemini,DF-001,Lenke 5C 성인 퇴행성 측만증에서 최적 UIV 선택: T10 vs L1?,System A,,,,,,,,
Gemini,DF-001,Lenke 5C 성인 퇴행성 측만증에서 최적 UIV 선택: T10 vs L1?,System B,,,,,,,,
Gemini,DF-001,Lenke 5C 성인 퇴행성 측만증에서 최적 UIV 선택: T10 vs L1?,System C,,,,,,,,
Gemini,DF-001,Lenke 5C 성인 퇴행성 측만증에서 최적 UIV 선택: T10 vs L1?,System D,,,,,,,,
Gemini,DF-002,성인 척추 변형 수술 후 근위부 접합부 후만증(PJK)의 발생률과 위험인자는?,System A,,,,,,,,
Gemini,DF-002,성인 척추 변형 수술 후 근위부 접합부 후만증(PJK)의 발생률과 위험인자는?,System B,,,,,,,,
Gemini,DF-002,성인 척추 변형 수술 후 근위부 접합부 후만증(PJK)의 발생률과 위험인자는?,System C,,,,,,,,
Gemini,DF-002,성인 척추 변형 수술 후 근위부 접합부 후만증(PJK)의 발생률과 위험인자는?,System D,,,,,,,,
Gemini,DF-003,"고정된 시상면 불균형에서 3주 절골술(PSO, VCR)의 결과와 합병증 프로파일은?",System A,,,,,,,,
Gemini,DF-003,"고정된 시상면 불균형에서 3주 절골술(PSO, VCR)의 결과와 합병증 프로파일은?",System B,,,,,,,,
Gemini,DF-003,"고정된 시상면 불균형에서 3주 절골술(PSO, VCR)의 결과와 합병증 프로파일은?",System C,,,,,,,,
Gemini,DF-003,"고정된 시상면 불균형에서 3주 절골술(PSO, VCR)의 결과와 합병증 프로파일은?",System D,,,,,,,,
Gemini,DF-004,Cobb angle 40-50도 청소년 특발성 측만증에서 수술 vs 보존적 치료 근거는?,System A,,,,,,,,
Gemini,DF-004,Cobb angle 40-50도 청소년 특발성 측만증에서 수술 vs 보존적 치료 근거는?,System B,,,,,,,,
Gemini,DF-004,Cobb angle 40-50도 청소년 특발성 측만증에서 수술 vs 보존적 치료 근거는?,System C,,,,,,,,
Gemini,DF-004,Cobb angle 40-50도 청소년 특발성 측만증에서 수술 vs 보존적 치료 근거는?,System D,,,,,,,,
Gemini,DF-005,성인 척추 변형에서 전방주 재건(ACR/ALIF)+후방 고정 vs 후방 단독 접근법의 역할은?,System A,,,,,,,,
Gemini,DF-005,성인 척추 변형에서 전방주 재건(ACR/ALIF)+후방 고정 vs 후방 단독 접근법의 역할은?,System B,,,,,,,,
Gemini,DF-005,성인 척추 변형에서 전방주 재건(ACR/ALIF)+후방 고정 vs 후방 단독 접근법의 역할은?,System C,,,,,,,,
Gemini,DF-005,성인 척추 변형에서 전방주 재건(ACR/ALIF)+후방 고정 vs 후방 단독 접근법의 역할은?,System D,,,,,,,,
Gemini,GR-001,요추 척추관 협착증에 사용 가능한 모든 수술적 치료법과 합병증 프로파일 비교는?,System A,,,,,,,,
Gemini,GR-001,요추 척추관 협착증에 사용 가능한 모든 수술적 치료법과 합병증 프로파일 비교는?,System B,,,,,,,,
Gemini,GR-001,요추 척추관 협착증에 사용 가능한 모든 수술적 치료법과 합병증 프로파일 비교는?,System C,,,,,,,,
Gemini,GR-001,요추 척추관 협착증에 사용 가능한 모든 수술적 치료법과 합병증 프로파일 비교는?,System D,,,,,,,,
Gemini,GR-002,TLIF와 PLIF가 공통으로 보고하는 outcome과 각각 고유한 outcome은?,System A,,,,,,,,
Gemini,GR-002,TLIF와 PLIF가 공통으로 보고하는 outcome과 각각 고유한 outcome은?,System B,,,,,,,,
Gemini,GR-002,TLIF와 PLIF가 공통으로 보고하는 outcome과 각각 고유한 outcome은?,System C,,,,,,,,
Gemini,GR-002,TLIF와 PLIF가 공통으로 보고하는 outcome과 각각 고유한 outcome은?,System D,,,,,,,,
Gemini,GR-003,"UBE가 요추 추간판 탈출증을 치료할 때의 완전한 근거 체인: 어떤 병태를 치료하고, 어떤 outcome에 영향을 미치며, 각각의 근거 수준은?",System A,,,,,,,,
Gemini,GR-003,"UBE가 요추 추간판 탈출증을 치료할 때의 완전한 근거 체인: 어떤 병태를 치료하고, 어떤 outcome에 영향을 미치며, 각각의 근거 수준은?",System B,,,,,,,,
Gemini,GR-003,"UBE가 요추 추간판 탈출증을 치료할 때의 완전한 근거 체인: 어떤 병태를 치료하고, 어떤 outcome에 영향을 미치며, 각각의 근거 수준은?",System C,,,,,,,,
Gemini,GR-003,"UBE가 요추 추간판 탈출증을 치료할 때의 완전한 근거 체인: 어떤 병태를 치료하고, 어떤 outcome에 영향을 미치며, 각각의 근거 수준은?",System D,,,,,,,,
Gemini,GR-004,척추 수술 데이터베이스에서 CDR과 가장 많은 outcome measure를 공유하는 intervention은?,System A,,,,,,,,
Gemini,GR-004,척추 수술 데이터베이스에서 CDR과 가장 많은 outcome measure를 공유하는 intervention은?,System B,,,,,,,,
Gemini,GR-004,척추 수술 데이터베이스에서 CDR과 가장 많은 outcome measure를 공유하는 intervention은?,System C,,,,,,,,
Gemini,GR-004,척추 수술 데이터베이스에서 CDR과 가장 많은 outcome measure를 공유하는 intervention은?,System D,,,,,,,,
Gemini,GR-005,"L4-5 퇴행성 척추전방전위증 환자에서 가능한 모든 유합술, 유합률, 합병증 프로파일에 대한 근거는?",System A,,,,,,,,
Gemini,GR-005,"L4-5 퇴행성 척추전방전위증 환자에서 가능한 모든 유합술, 유합률, 합병증 프로파일에 대한 근거는?",System B,,,,,,,,
Gemini,GR-005,"L4-5 퇴행성 척추전방전위증 환자에서 가능한 모든 유합술, 유합률, 합병증 프로파일에 대한 근거는?",System C,,,,,,,,
Gemini,GR-005,"L4-5 퇴행성 척추전방전위증 환자에서 가능한 모든 유합술, 유합률, 합병증 프로파일에 대한 근거는?",System D,,,,,,,,
