evaluator,query_id,question_kr,system,R1_accuracy,R2_coverage,R3_evidence_level,R4_citation_verify,R5_clinical_usefulness,total,best_worst,comment
PHJ,DG-009,로봇 보조 척추경 나사못 삽입 vs 프리핸드 기법의 임상 결과 및 합병증 비교는?,System C,,,,,,,,
PHJ,DG-009,로봇 보조 척추경 나사못 삽입 vs 프리핸드 기법의 임상 결과 및 합병증 비교는?,System D,,,,,,,,
PHJ,DG-010,전내시경 요추 추간판절제술(FELD/PELD)의 학습 곡선과 결과에 미치는 영향 근거는?,System A,,,,,,,,
PHJ,DG-010,전내시경 요추 추간판절제술(FELD/PELD)의 학습 곡선과 결과에 미치는 영향 근거는?,System B,,,,,,,,
PHJ,DG-010,전내시경 요추 추간판절제술(FELD/PELD)의 학습 곡선과 결과에 미치는 영향 근거는?,System C,,,,,,,,
PHJ,DG-010,전내시경 요추 추간판절제술(FELD/PELD)의 학습 곡선과 결과에 미치는 영향 근거는?,System D,,,,,,,,
PHJ,DF-001,Lenke 5C 성인 퇴행성 측만증에서 최적 UIV 선택: T10 vs L1?,System A,,,,,,,,
PHJ,DF-001,Lenke 5C 성인 퇴행성 측만증에서 최적 UIV 선택: T10 vs L1?,System B,,,,,,,,
PHJ,DF-001,Lenke 5C 성인 퇴행성 측만증에서 최적 UIV 선택: T10 vs L1?,System C,,,,,,,,
PHJ,DF-001,Lenke 5C 성인 퇴행성 측만증에서 최적 UIV 선택: T10 vs L1?,System D,,,,,,,,
PHJ,DF-002,성인 척추 변형 수술 후 근위부 접합부 후만증(PJK)의 발생률과 위험인자는?,System A,,,,,,,,
PHJ,DF-002,성인 척추 변형 수술 후 근위부 접합부 후만증(PJK)의 발생률과 위험인자는?,System B,,,,,,,,
PHJ,DF-002,성인 척추 변형 수술 후 근위부 접합부 후만증(PJK)의 발생률과 위험인자는?,System C,,,,,,,,
PHJ,DF-002,성인 척추 변형 수술 후 근위부 접합부 후만증(PJK)의 발생률과 위험인자는?,System D,,,,,,,,
PHJ,DF-003,"고정된 시상면 불균형에서 3주 절골술(PSO, VCR)의 결과와 합병증 프로파일은?",System A,,,,,,,,
PHJ,DF-003,"고정된 시상면 불균형에서 3주 절골술(PSO, VCR)의 결과와 합병증 프로파일은?",System B,,,,,,,,
PHJ,DF-003,"고정된 시상면 불균형에서 3주 절골술(PSO, VCR)의 결과와 합병증 프로파일은?",System C,,,,,,,,
PHJ,DF-003,"고정된 시상면 불균형에서 3주 절골술(PSO, VCR)의 결과와 합병증 프로파일은?",System D,,,,,,,,
PHJ,DF-004,Cobb angle 40-50도 청소년 특발성 측만증에서 수술 vs 보존적 치료 근거는?,System A,,,,,,,,
PHJ,DF-004,Cobb angle 40-50도 청소년 특발성 측만증에서 수술 vs 보존적 치료 근거는?,System B,,,,,,,,
PHJ,DF-004,Cobb angle 40-50도 청소년 특발성 측만증에서 수술 vs 보존적 치료 근거는?,System C,,,,,,,,
PHJ,DF-004,Cobb angle 40-50도 청소년 특발성 측만증에서 수술 vs 보존적 치료 근거는?,System D,,,,,,,,
PHJ,DF-005,성인 척추 변형에서 전방주 재건(ACR/ALIF)+후방 고정 vs 후방 단독 접근법의 역할은?,System A,,,,,,,,
PHJ,DF-005,성인 척추 변형에서 전방주 재건(ACR/ALIF)+후방 고정 vs 후방 단독 접근법의 역할은?,System B,,,,,,,,
PHJ,DF-005,성인 척추 변형에서 전방주 재건(ACR/ALIF)+후방 고정 vs 후방 단독 접근법의 역할은?,System C,,,,,,,,
PHJ,DF-005,성인 척추 변형에서 전방주 재건(ACR/ALIF)+후방 고정 vs 후방 단독 접근법의 역할은?,System D,,,,,,,,
