judge,query_id,question_kr,system,H1_fabricated_ref,H2_misattributed,H3_unsupported,H4_numerical,H5_overall_risk,total,fabricated_count,unsupported_count,comment
Claude,CV-002,"다분절 경추 척추증성 척수증에 대한 최적 수술 접근법(전방, 후방, 복합)과 접근법 선택을 결정하는 요인은?",System A,1,2,2,3,1,9,18,6,0 papers; cites Lees Riew Hirabayashi Nakamura etc with specific mJOA; comprehensive fabrication
Claude,CV-002,"다분절 경추 척추증성 척수증에 대한 최적 수술 접근법(전방, 후방, 복합)과 접근법 선택을 결정하는 요인은?",System B,4,4,4,4,4,20,0,2,Pubmed IDs; some off-topic papers; claims generally supported; minor extrapolation
Claude,CV-002,"다분절 경추 척추증성 척수증에 대한 최적 수술 접근법(전방, 후방, 복합)과 접근법 선택을 결정하는 요인은?",System C,5,4,4,5,4,22,0,1,Retrieved irrelevant papers but honestly states insufficient evidence; transparent about gaps
Claude,CV-002,"다분절 경추 척추증성 척수증에 대한 최적 수술 접근법(전방, 후방, 복합)과 접근법 선택을 결정하는 요인은?",System D,5,5,5,5,5,25,0,0,All pubmed IDs; highly relevant papers; OPLL stratification well-documented
Claude,CV-003,"다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 비교 결과(C5 마비율, 운동범위, OPLL 고려사항 포함)는?",System A,5,5,4,4,5,23,0,1,All pubmed IDs; C5 palsy OR and operative time precisely cited; minor ROM data gap
Claude,CV-003,"다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 비교 결과(C5 마비율, 운동범위, OPLL 고려사항 포함)는?",System B,5,5,5,5,5,25,0,0,All pubmed IDs; comprehensive with precise ORs CIs p-values; OPLL clearly attributed
Claude,CV-003,"다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 비교 결과(C5 마비율, 운동범위, OPLL 고려사항 포함)는?",System C,5,4,4,5,4,22,0,0,Retrieved irrelevant papers; honestly states cannot answer; no fabricated claims
Claude,CV-003,"다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 비교 결과(C5 마비율, 운동범위, OPLL 고려사항 포함)는?",System D,1,2,2,2,1,8,22,15,0 papers; 22+ Author-Year citations with fabricated Chiropractic et al 2006; most detailed fabrication
Claude,CV-004,하부 경추 손상의 수술적 관리에서 전방 vs 후방 접근법의 신경학적 회복 및 안정성 비교 근거는?,System A,5,4,4,5,4,22,0,2,All pubmed IDs; honestly notes limited comparative data; some general claims
Claude,CV-004,하부 경추 손상의 수술적 관리에서 전방 vs 후방 접근법의 신경학적 회복 및 안정성 비교 근거는?,System B,1,2,2,3,1,9,16,5,0 papers; cites Fehlings Vaccaro Chapman Anderson without IDs; Caney 2020 meta likely fabricated
Claude,CV-004,하부 경추 손상의 수술적 관리에서 전방 vs 후방 접근법의 신경학적 회복 및 안정성 비교 근거는?,System C,5,4,4,4,4,21,0,2,Pubmed IDs; data correctly attributed; some extrapolation from myelopathy to injury
Claude,CV-004,하부 경추 손상의 수술적 관리에서 전방 vs 후방 접근법의 신경학적 회복 및 안정성 비교 근거는?,System D,5,4,4,4,4,21,0,2,All pubmed IDs; honestly states papers address degenerative not traumatic; appropriate humility
Claude,CV-005,"경추 유합술 후 인접분절 질환의 발생률, 위험인자, 예방 전략은?",System A,1,2,2,3,1,9,8,10,0 papers; cites Hilibrand Galbusera Park Mulholland with specific HRs RRs; fabrication
Claude,CV-005,"경추 유합술 후 인접분절 질환의 발생률, 위험인자, 예방 전략은?",System B,5,5,5,5,5,25,0,0,All pubmed IDs; precise ORs CIs from meta-analyses; competing ASD theories attributed correctly
Claude,CV-005,"경추 유합술 후 인접분절 질환의 발생률, 위험인자, 예방 전략은?",System C,5,4,4,5,4,22,0,0,Retrieved irrelevant papers; honestly states cannot answer; no fabricated claims
Claude,CV-005,"경추 유합술 후 인접분절 질환의 발생률, 위험인자, 예방 전략은?",System D,5,4,4,4,4,21,0,1,Pubmed IDs; Hilibrand 2.9%/year correctly attributed; prevention gap honestly noted
Claude,DF-001,"성인 척추 변형 수술 후 근위부 접합부 후만증(PJK) 및 근위부 접합부 실패(PJF)의 발생률, 위험인자, 예방 전략은?",System A,1,2,2,3,2,10,15,8,0 papers; cites Glassman Kim Yagi Hart etc without IDs; classic fabrication pattern
Claude,DF-001,"성인 척추 변형 수술 후 근위부 접합부 후만증(PJK) 및 근위부 접합부 실패(PJF)의 발생률, 위험인자, 예방 전략은?",System B,5,5,5,4,5,24,0,0,All pubmed IDs; evidence gaps acknowledged; incidence ranges properly sourced
Claude,DF-001,"성인 척추 변형 수술 후 근위부 접합부 후만증(PJK) 및 근위부 접합부 실패(PJF)의 발생률, 위험인자, 예방 전략은?",System C,5,5,4,5,5,24,0,1,All pubmed IDs; one minor unsupported ODI claim; notes missing abstract data
Claude,DF-001,"성인 척추 변형 수술 후 근위부 접합부 후만증(PJK) 및 근위부 접합부 실패(PJF)의 발생률, 위험인자, 예방 전략은?",System D,5,5,5,5,5,25,0,0,Correctly identifies papers do not address PJK/PJF; honest evidence gap; no fabrication
Claude,DF-002,"고정된 시상면 불균형에서 척추경 감산 절골술(PSO) vs 척추주 절제술(VCR)의 교정량, 합병증률, 재수술 비교 결과는?",System A,5,4,4,4,4,21,0,2,Pubmed IDs; some inferences beyond source data; mostly well-attributed
Claude,DF-002,"고정된 시상면 불균형에서 척추경 감산 절골술(PSO) vs 척추주 절제술(VCR)의 교정량, 합병증률, 재수술 비교 결과는?",System B,1,2,2,3,1,9,8,6,0 papers; cites Bridwell Suk Bydon Auerbach with specific rates without IDs
Claude,DF-002,"고정된 시상면 불균형에서 척추경 감산 절골술(PSO) vs 척추주 절제술(VCR)의 교정량, 합병증률, 재수술 비교 결과는?",System C,5,5,5,5,5,25,0,0,3 papers with pubmed IDs; honestly reports evidence gaps; conservative synthesis
Claude,DF-002,"고정된 시상면 불균형에서 척추경 감산 절골술(PSO) vs 척추주 절제술(VCR)의 교정량, 합병증률, 재수술 비교 결과는?",System D,5,5,5,5,5,25,0,0,10 papers; correctly states insufficient direct evidence; no fabrication
Claude,DF-003,"현재 시상면 정렬 목표(PI-LL, GAP 점수, 연령 보정 정렬)와 환자 보고 결과와의 상관관계는?",System A,5,4,4,4,4,21,0,2,Pubmed IDs; some interpretive claims beyond abstracts; rod fracture well-sourced
Claude,DF-003,"현재 시상면 정렬 목표(PI-LL, GAP 점수, 연령 보정 정렬)와 환자 보고 결과와의 상관관계는?",System B,5,4,4,4,4,21,0,1,Pubmed IDs; mostly well-attributed; minor unsupported T1PA claim
Claude,DF-003,"현재 시상면 정렬 목표(PI-LL, GAP 점수, 연령 보정 정렬)와 환자 보고 결과와의 상관관계는?",System C,5,5,4,5,5,24,0,1,Pubmed IDs; honest about limited PRO correlation; notes gaps clearly
Claude,DF-003,"현재 시상면 정렬 목표(PI-LL, GAP 점수, 연령 보정 정렬)와 환자 보고 결과와의 상관관계는?",System D,1,2,2,2,1,8,12,10,0 papers; cites Schwab Lafage Blondel with fabricated correlation coefficients and formulas
Claude,DF-004,청소년 특발성 측만증에서 수술 vs 보존적 치료의 근거와 현재 수술 적응증은?,System A,1,2,2,3,2,10,14,7,0 papers; cites Weinstein Lenke Bridwell Rushton with specific percentages without IDs
Claude,DF-004,청소년 특발성 측만증에서 수술 vs 보존적 치료의 근거와 현재 수술 적응증은?,System B,5,5,5,5,5,25,0,0,Pubmed IDs; honestly states no direct comparison; thorough gap documentation
Claude,DF-004,청소년 특발성 측만증에서 수술 vs 보존적 치료의 근거와 현재 수술 적응증은?,System C,5,5,4,5,5,24,0,1,Pubmed IDs; honest about missing outcome specifics; conservative claims
Claude,DF-004,청소년 특발성 측만증에서 수술 vs 보존적 치료의 근거와 현재 수술 적응증은?,System D,5,5,4,5,5,24,0,1,10 papers; honestly notes only 1 relevant; minimal unsupported inference
Claude,DF-005,"성인 척추 변형 교정에서 전방주 재건(ACR/ALIF)의 역할(시상면 정렬, 로드 골절 예방, 장기 내구성에 대한 효과 포함)은?",System A,5,5,5,5,5,25,0,0,10 papers; correctly states none address ACR in ASD; honest gap identification
Claude,DF-005,"성인 척추 변형 교정에서 전방주 재건(ACR/ALIF)의 역할(시상면 정렬, 로드 골절 예방, 장기 내구성에 대한 효과 포함)은?",System B,5,4,4,4,4,21,0,2,4 papers with pubmed IDs; some theoretical claims beyond sources; mostly well-attributed
Claude,DF-005,"성인 척추 변형 교정에서 전방주 재건(ACR/ALIF)의 역할(시상면 정렬, 로드 골절 예방, 장기 내구성에 대한 효과 포함)은?",System C,5,5,4,4,5,23,0,1,Pubmed IDs; comprehensive synthesis; minor extrapolation on ALIF superiority
Claude,DF-005,"성인 척추 변형 교정에서 전방주 재건(ACR/ALIF)의 역할(시상면 정렬, 로드 골절 예방, 장기 내구성에 대한 효과 포함)은?",System D,1,2,2,2,1,8,18,12,0 papers; cites Chou Theologis Cammarata Kim with specific percentages without IDs
Claude,DG-001,"요추 퇴행성 척추전방전위증에서 TLIF vs PLIF vs OLIF vs ALIF의 유합률, 시상면 정렬 회복, 합병증 프로파일 비교 근거는?",System A,5,4,5,4,5,23,0,0,All pubmed IDs; claims tied to sources; acknowledges evidence gaps honestly
Claude,DG-001,"요추 퇴행성 척추전방전위증에서 TLIF vs PLIF vs OLIF vs ALIF의 유합률, 시상면 정렬 회복, 합병증 프로파일 비교 근거는?",System B,5,3,4,4,4,20,0,1,Pubmed IDs; many papers tangentially relevant; acknowledges inability to answer
Claude,DG-001,"요추 퇴행성 척추전방전위증에서 TLIF vs PLIF vs OLIF vs ALIF의 유합률, 시상면 정렬 회복, 합병증 프로파일 비교 근거는?",System C,1,2,2,3,1,9,18,12,0 papers; 18+ Author-Year refs without IDs; fabrication highly likely
Claude,DG-001,"요추 퇴행성 척추전방전위증에서 TLIF vs PLIF vs OLIF vs ALIF의 유합률, 시상면 정렬 회복, 합병증 프로파일 비교 근거는?",System D,5,4,5,4,5,23,0,0,All pubmed IDs; claims well-attributed; fusion rate gap noted honestly
Claude,DG-002,퇴행성 요추 척추전방전위증에서 감압술 단독 vs 감압+유합술의 근거와 유합술 추가 적응증은?,System A,5,3,4,4,4,20,0,1,Pubmed IDs; Herkowitz attribution indirect; mostly well-sourced
Claude,DG-002,퇴행성 요추 척추전방전위증에서 감압술 단독 vs 감압+유합술의 근거와 유합술 추가 적응증은?,System B,5,4,5,4,5,23,0,0,All pubmed IDs; careful attribution; notes gaps; summary table supported
Claude,DG-002,퇴행성 요추 척추전방전위증에서 감압술 단독 vs 감압+유합술의 근거와 유합술 추가 적응증은?,System C,1,2,1,3,1,8,14,15,0 papers; cites SLIP Trial Ghogawala Forsth without IDs; specific numbers likely fabricated
Claude,DG-002,퇴행성 요추 척추전방전위증에서 감압술 단독 vs 감압+유합술의 근거와 유합술 추가 적응증은?,System D,5,3,4,4,4,20,0,1,Pubmed IDs; honestly states papers don't address question; avoids fabrication
Claude,DG-003,"요추 척추관 협착증에서 경막외 스테로이드 주사의 효과, 반복 주사의 영향, 수술 의뢰 최적 시점에 대한 현재 근거는?",System A,5,4,5,4,5,23,0,0,All pubmed IDs; claims well-sourced; gaps clearly identified
Claude,DG-003,"요추 척추관 협착증에서 경막외 스테로이드 주사의 효과, 반복 주사의 영향, 수술 의뢰 최적 시점에 대한 현재 근거는?",System B,5,4,5,4,5,23,0,0,All pubmed IDs; detailed quantitative data tied to sources; notes injection evidence gap
Claude,DG-003,"요추 척추관 협착증에서 경막외 스테로이드 주사의 효과, 반복 주사의 영향, 수술 의뢰 최적 시점에 대한 현재 근거는?",System C,4,3,3,4,3,17,0,3,Pubmed IDs but most papers irrelevant; limited useful content; honest about gaps
Claude,DG-003,"요추 척추관 협착증에서 경막외 스테로이드 주사의 효과, 반복 주사의 영향, 수술 의뢰 최적 시점에 대한 현재 근거는?",System D,1,2,1,3,1,8,15,14,0 papers; cites Chou Fukusaki Manchikanti without IDs; comprehensive answer without evidence
Claude,DG-004,"요추 추체간 유합술 후 케이지 침하의 위험인자와 케이지 디자인, 재료, 종판 준비가 침하율 및 임상 결과에 미치는 영향은?",System A,5,4,5,4,5,23,0,0,All pubmed IDs; quantitative data tied to sources; clear gap identification
Claude,DG-004,"요추 추체간 유합술 후 케이지 침하의 위험인자와 케이지 디자인, 재료, 종판 준비가 침하율 및 임상 결과에 미치는 영향은?",System B,1,2,1,2,1,7,25,20,0 papers; 25+ Author-Year refs with specific ORs NNTs; almost certainly fabricated
Claude,DG-004,"요추 추체간 유합술 후 케이지 침하의 위험인자와 케이지 디자인, 재료, 종판 준비가 침하율 및 임상 결과에 미치는 영향은?",System C,5,4,4,4,4,21,0,1,All pubmed IDs; mix of clinical and biomechanical evidence; minor extrapolation
Claude,DG-004,"요추 추체간 유합술 후 케이지 침하의 위험인자와 케이지 디자인, 재료, 종판 준비가 침하율 및 임상 결과에 미치는 영향은?",System D,5,3,5,5,4,22,0,0,Pubmed IDs; honestly states none address subsidence; avoids fabrication
Claude,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 용량 의존적 합병증, 이소성 골화, 암 위험에 대한 근거는?",System A,5,4,4,4,4,21,0,1,Pubmed IDs; fusion rate data well-sourced; limited HO/cancer acknowledged
Claude,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 용량 의존적 합병증, 이소성 골화, 암 위험에 대한 근거는?",System B,5,4,5,4,5,23,0,0,All pubmed IDs; dose-dependent data well-attributed; bias concerns noted
Claude,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 용량 의존적 합병증, 이소성 골화, 암 위험에 대한 근거는?",System C,1,2,1,2,1,7,12,10,0 papers; cites Burkus Boden Carragee without IDs; FDA details unverifiable
Claude,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 용량 의존적 합병증, 이소성 골화, 암 위험에 대한 근거는?",System D,5,4,5,4,5,23,0,0,All pubmed IDs; FDA discrepancy documented; cancer gap honestly noted
Claude,DI-001,"로봇 보조 vs 프리핸드 및 네비게이션 척추경 나사못 삽입의 정확도, 임상 결과, 방사선 노출, 비용효과성 비교 근거는?",System A,5,4,4,5,4,22,0,1,Pubmed IDs; honestly states evidence gaps; one unsupported cost claim
Claude,DI-001,"로봇 보조 vs 프리핸드 및 네비게이션 척추경 나사못 삽입의 정확도, 임상 결과, 방사선 노출, 비용효과성 비교 근거는?",System B,1,2,1,2,1,7,15,12,0 papers; 15+ Author-Year citations with specific accuracy numbers; highly likely fabricated
Claude,DI-001,"로봇 보조 vs 프리핸드 및 네비게이션 척추경 나사못 삽입의 정확도, 임상 결과, 방사선 노출, 비용효과성 비교 근거는?",System C,5,4,4,5,5,23,0,0,All pubmed IDs; acknowledges contradictory findings and manufacturer bias
Claude,DI-001,"로봇 보조 vs 프리핸드 및 네비게이션 척추경 나사못 삽입의 정확도, 임상 결과, 방사선 노출, 비용효과성 비교 근거는?",System D,5,5,4,5,5,24,0,0,Pubmed IDs; specific extracted metrics; transparent about clinical outcome paradox
Claude,DI-002,"척추 수술에서 수술 중 네비게이션 시스템(O-arm, CT 네비게이션)의 정확도, 방사선 노출, 임상 결과(투시 대비) 근거는?",System A,4,3,3,4,3,17,0,3,Pubmed IDs but many papers off-topic; limited useful evidence acknowledged
Claude,DI-002,"척추 수술에서 수술 중 네비게이션 시스템(O-arm, CT 네비게이션)의 정확도, 방사선 노출, 임상 결과(투시 대비) 근거는?",System B,5,4,4,5,5,23,0,0,All pubmed IDs; notes radiation evidence gap; honest about clinical outcome disconnect
Claude,DI-002,"척추 수술에서 수술 중 네비게이션 시스템(O-arm, CT 네비게이션)의 정확도, 방사선 노출, 임상 결과(투시 대비) 근거는?",System C,1,2,1,2,1,7,18,15,0 papers; 18+ Author-Year citations with specific mSv values; almost certainly fabricated
Claude,DI-002,"척추 수술에서 수술 중 네비게이션 시스템(O-arm, CT 네비게이션)의 정확도, 방사선 노출, 임상 결과(투시 대비) 근거는?",System D,5,4,4,5,5,23,0,0,Pubmed IDs; specific radiation metrics; honest about long-term outcome gaps
Claude,DI-003,"척추 영상에서 인공지능 응용의 현재 근거(자동 Cobb 각도 측정, 협착 등급화, 골절 탐지 포함)는?",System A,5,4,4,5,5,23,0,0,All pubmed IDs; acknowledges stenosis/fracture gaps; accurate LLM limitation assessment
Claude,DI-003,"척추 영상에서 인공지능 응용의 현재 근거(자동 Cobb 각도 측정, 협착 등급화, 골절 탐지 포함)는?",System B,5,5,5,5,5,25,0,0,Comprehensive pubmed-cited evidence; meta-analysis metrics with CIs; fracture gap noted
Claude,DI-003,"척추 영상에서 인공지능 응용의 현재 근거(자동 Cobb 각도 측정, 협착 등급화, 골절 탐지 포함)는?",System C,1,2,1,2,1,7,16,14,0 papers; 16+ Author-Year citations with specific AUC values; almost certainly fabricated
Claude,DI-003,"척추 영상에서 인공지능 응용의 현재 근거(자동 Cobb 각도 측정, 협착 등급화, 골절 탐지 포함)는?",System D,5,4,4,5,5,23,0,0,All pubmed IDs; acknowledges fracture gap; one off-topic paper flagged appropriately
Claude,DI-004,"척추 수술에서 증강현실(AR) 및 가상현실(VR) 응용의 수술 계획, 수술 중 가이드, 수술 교육에 대한 근거는?",System A,1,2,1,2,1,7,18,15,0 papers; 18+ Author-Year citations with specific percentages and cost figures; fabricated
Claude,DI-004,"척추 수술에서 증강현실(AR) 및 가상현실(VR) 응용의 수술 계획, 수술 중 가이드, 수술 교육에 대한 근거는?",System B,4,3,3,4,3,17,0,2,Pubmed IDs but several papers tangential; limited AR/VR quantitative data
Claude,DI-004,"척추 수술에서 증강현실(AR) 및 가상현실(VR) 응용의 수술 계획, 수술 중 가이드, 수술 교육에 대한 근거는?",System C,5,4,4,5,5,23,0,0,All pubmed IDs; honestly states limited quantitative data; evidence gaps acknowledged
Claude,DI-004,"척추 수술에서 증강현실(AR) 및 가상현실(VR) 응용의 수술 계획, 수술 중 가이드, 수술 교육에 대한 근거는?",System D,5,4,4,5,4,22,0,0,Pubmed IDs; conservative claims; acknowledges lack of outcome metrics
Claude,DI-005,"척추 수술에서 머신러닝 기반 예측 모델의 합병증 예측, 환자 보고 결과 예측, 재입원 예측에 대한 근거는?",System A,1,2,1,2,1,7,8,10,0 papers; 8+ Author-Year citations with specific AUC values; fabricated references
Claude,DI-005,"척추 수술에서 머신러닝 기반 예측 모델의 합병증 예측, 환자 보고 결과 예측, 재입원 예측에 대한 근거는?",System B,5,4,4,4,4,21,0,1,All pubmed IDs; one tangential paper; readmission gap acknowledged
Claude,DI-005,"척추 수술에서 머신러닝 기반 예측 모델의 합병증 예측, 환자 보고 결과 예측, 재입원 예측에 대한 근거는?",System C,5,4,4,4,4,21,0,0,All pubmed IDs; specific AUC metrics cited from papers; implementation gaps noted
Claude,DI-005,"척추 수술에서 머신러닝 기반 예측 모델의 합병증 예측, 환자 보고 결과 예측, 재입원 예측에 대한 근거는?",System D,5,5,5,5,5,25,0,0,All pubmed IDs; detailed AUROC tables; external validation evidence; comprehensive
Claude,MIS-001,"요추 척추관 협착증에서 UBE(이중포탈 내시경) vs 기존 감압술의 임상 결과, 합병증, 학습 곡선 비교 근거는?",System A,5,4,4,4,4,21,0,1,All pubmed IDs; acknowledges gaps; some claims lack specific numbers
Claude,MIS-001,"요추 척추관 협착증에서 UBE(이중포탈 내시경) vs 기존 감압술의 임상 결과, 합병증, 학습 곡선 비교 근거는?",System B,5,4,4,4,4,21,0,0,All pubmed IDs; comprehensive with specific RR values; notes gaps clearly
Claude,MIS-001,"요추 척추관 협착증에서 UBE(이중포탈 내시경) vs 기존 감압술의 임상 결과, 합병증, 학습 곡선 비교 근거는?",System C,5,4,4,5,4,22,0,0,All pubmed IDs; conservative claims; honestly states limited direct evidence
Claude,MIS-001,"요추 척추관 협착증에서 UBE(이중포탈 내시경) vs 기존 감압술의 임상 결과, 합병증, 학습 곡선 비교 근거는?",System D,1,2,1,3,1,8,12,15,0 papers; cites Hattori Soliman Ruan etc without IDs; complication tables likely fabricated
Claude,MIS-002,"요추 추간판 탈출증에서 전내시경 추간판절제술(FELD/PELD) vs 미세현미경 추간판절제술의 재발률, 회복 시간, 환자 선택 비교 근거는?",System A,5,4,4,4,4,21,0,1,All pubmed IDs; appropriate cross-referencing; notes stenosis data applied to discectomy
Claude,MIS-002,"요추 추간판 탈출증에서 전내시경 추간판절제술(FELD/PELD) vs 미세현미경 추간판절제술의 재발률, 회복 시간, 환자 선택 비교 근거는?",System B,1,2,1,2,1,7,14,18,0 papers; cites Yeung Ruetten Khan etc without IDs; specific recurrence/RTW numbers fabricated
Claude,MIS-002,"요추 추간판 탈출증에서 전내시경 추간판절제술(FELD/PELD) vs 미세현미경 추간판절제술의 재발률, 회복 시간, 환자 선택 비교 근거는?",System C,5,4,4,4,4,21,0,0,All pubmed IDs; balanced assessment; TELD vs BED distinction from evidence
Claude,MIS-002,"요추 추간판 탈출증에서 전내시경 추간판절제술(FELD/PELD) vs 미세현미경 추간판절제술의 재발률, 회복 시간, 환자 선택 비교 근거는?",System D,4,3,3,3,3,16,0,3,10 papers mostly irrelevant; only 1 relevant; honestly acknowledges gap; no fabrication
Claude,MIS-003,"요추 퇴행성 질환에서 MIS-TLIF vs 개방형 TLIF의 주수술기 이환율, 유합률, 장기 임상 결과 비교는?",System A,5,5,4,5,5,24,0,0,All pubmed IDs; specific numbers match papers; excellent internal consistency
Claude,MIS-003,"요추 퇴행성 질환에서 MIS-TLIF vs 개방형 TLIF의 주수술기 이환율, 유합률, 장기 임상 결과 비교는?",System B,5,4,4,5,4,22,0,0,All pubmed IDs; comprehensive with cost-effectiveness data; good cross-referencing
