judge,query_id,question_kr,system,H1_fabricated_ref,H2_misattributed,H3_unsupported,H4_numerical,H5_overall_risk,total,fabricated_count,unsupported_count,comment
Gemini,BS-004,"전임상 및 임상 연구에서 척수 재생 전략(스캐폴드, 신경영양인자, 신경보호제 포함)에 대한 현재 근거는?",System D,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,BS-005,"요추 추체간 유합에서 케이지 재료, 디자인, 크기가 생역학적 성능, 침하 위험, 유합 결과에 미치는 영향에 대한 근거는?",System A,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,BS-005,"요추 추체간 유합에서 케이지 재료, 디자인, 크기가 생역학적 성능, 침하 위험, 유합 결과에 미치는 영향에 대한 근거는?",System B,2,1,5,2,1,11,25,0,No retrieved papers; high hallucination risk. Contains ~25 potentially unverifiable citations.
Gemini,BS-005,"요추 추체간 유합에서 케이지 재료, 디자인, 크기가 생역학적 성능, 침하 위험, 유합 결과에 미치는 영향에 대한 근거는?",System C,5,4,3,4,4,20,0,3,"Mostly reliable, minor unsupported claims."
Gemini,BS-005,"요추 추체간 유합에서 케이지 재료, 디자인, 크기가 생역학적 성능, 침하 위험, 유합 결과에 미치는 영향에 대한 근거는?",System D,5,4,3,5,4,21,0,3,"Mostly reliable, minor unsupported claims."
Gemini,CV-001,"1-2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행, 재수술률, 운동범위 보존 비교 근거는?",System A,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,CV-001,"1-2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행, 재수술률, 운동범위 보존 비교 근거는?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,CV-001,"1-2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행, 재수술률, 운동범위 보존 비교 근거는?",System C,3,1,4,2,1,11,0,1,No retrieved papers; high hallucination risk.
Gemini,CV-001,"1-2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행, 재수술률, 운동범위 보존 비교 근거는?",System D,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,CV-002,"다분절 경추 척추증성 척수증에 대한 최적 수술 접근법(전방, 후방, 복합)과 접근법 선택을 결정하는 요인은?",System A,2,1,5,2,1,11,20,0,No retrieved papers; high hallucination risk. Contains ~20 potentially unverifiable citations.
Gemini,CV-002,"다분절 경추 척추증성 척수증에 대한 최적 수술 접근법(전방, 후방, 복합)과 접근법 선택을 결정하는 요인은?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,CV-002,"다분절 경추 척추증성 척수증에 대한 최적 수술 접근법(전방, 후방, 복합)과 접근법 선택을 결정하는 요인은?",System C,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,CV-002,"다분절 경추 척추증성 척수증에 대한 최적 수술 접근법(전방, 후방, 복합)과 접근법 선택을 결정하는 요인은?",System D,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,CV-003,"다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 비교 결과(C5 마비율, 운동범위, OPLL 고려사항 포함)는?",System A,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,CV-003,"다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 비교 결과(C5 마비율, 운동범위, OPLL 고려사항 포함)는?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,CV-003,"다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 비교 결과(C5 마비율, 운동범위, OPLL 고려사항 포함)는?",System C,5,4,4,5,5,23,0,1,All citations from database; well-grounded.
Gemini,CV-003,"다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 비교 결과(C5 마비율, 운동범위, OPLL 고려사항 포함)는?",System D,2,1,5,2,1,11,34,0,No retrieved papers; high hallucination risk. Contains ~34 potentially unverifiable citations.
Gemini,CV-004,하부 경추 손상의 수술적 관리에서 전방 vs 후방 접근법의 신경학적 회복 및 안정성 비교 근거는?,System A,5,3,2,5,3,18,0,8,Mixed reliability.
Gemini,CV-004,하부 경추 손상의 수술적 관리에서 전방 vs 후방 접근법의 신경학적 회복 및 안정성 비교 근거는?,System B,2,1,5,2,1,11,20,0,No retrieved papers; high hallucination risk. Contains ~20 potentially unverifiable citations.
Gemini,CV-004,하부 경추 손상의 수술적 관리에서 전방 vs 후방 접근법의 신경학적 회복 및 안정성 비교 근거는?,System C,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,CV-004,하부 경추 손상의 수술적 관리에서 전방 vs 후방 접근법의 신경학적 회복 및 안정성 비교 근거는?,System D,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,CV-005,"경추 유합술 후 인접분절 질환의 발생률, 위험인자, 예방 전략은?",System A,2,1,3,2,1,9,4,5,No retrieved papers; high hallucination risk. Contains ~4 potentially unverifiable citations.
Gemini,CV-005,"경추 유합술 후 인접분절 질환의 발생률, 위험인자, 예방 전략은?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,CV-005,"경추 유합술 후 인접분절 질환의 발생률, 위험인자, 예방 전략은?",System C,5,4,4,5,5,23,0,2,All citations from database; well-grounded.
Gemini,CV-005,"경추 유합술 후 인접분절 질환의 발생률, 위험인자, 예방 전략은?",System D,3,3,3,4,4,17,1,3,"Mostly reliable, minor unsupported claims. Contains ~1 potentially unverifiable citations."
Gemini,DF-001,"성인 척추 변형 수술 후 근위부 접합부 후만증(PJK) 및 근위부 접합부 실패(PJF)의 발생률, 위험인자, 예방 전략은?",System A,2,1,5,2,1,11,36,0,No retrieved papers; high hallucination risk. Contains ~36 potentially unverifiable citations.
Gemini,DF-001,"성인 척추 변형 수술 후 근위부 접합부 후만증(PJK) 및 근위부 접합부 실패(PJF)의 발생률, 위험인자, 예방 전략은?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DF-001,"성인 척추 변형 수술 후 근위부 접합부 후만증(PJK) 및 근위부 접합부 실패(PJF)의 발생률, 위험인자, 예방 전략은?",System C,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DF-001,"성인 척추 변형 수술 후 근위부 접합부 후만증(PJK) 및 근위부 접합부 실패(PJF)의 발생률, 위험인자, 예방 전략은?",System D,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,DF-002,"고정된 시상면 불균형에서 척추경 감산 절골술(PSO) vs 척추주 절제술(VCR)의 교정량, 합병증률, 재수술 비교 결과는?",System A,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DF-002,"고정된 시상면 불균형에서 척추경 감산 절골술(PSO) vs 척추주 절제술(VCR)의 교정량, 합병증률, 재수술 비교 결과는?",System B,2,1,5,2,1,11,42,0,No retrieved papers; high hallucination risk. Contains ~42 potentially unverifiable citations.
Gemini,DF-002,"고정된 시상면 불균형에서 척추경 감산 절골술(PSO) vs 척추주 절제술(VCR)의 교정량, 합병증률, 재수술 비교 결과는?",System C,5,4,4,5,5,23,0,1,All citations from database; well-grounded.
Gemini,DF-002,"고정된 시상면 불균형에서 척추경 감산 절골술(PSO) vs 척추주 절제술(VCR)의 교정량, 합병증률, 재수술 비교 결과는?",System D,5,4,3,5,4,21,0,3,"Mostly reliable, minor unsupported claims."
Gemini,DF-003,"현재 시상면 정렬 목표(PI-LL, GAP 점수, 연령 보정 정렬)와 환자 보고 결과와의 상관관계는?",System A,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DF-003,"현재 시상면 정렬 목표(PI-LL, GAP 점수, 연령 보정 정렬)와 환자 보고 결과와의 상관관계는?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DF-003,"현재 시상면 정렬 목표(PI-LL, GAP 점수, 연령 보정 정렬)와 환자 보고 결과와의 상관관계는?",System C,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,DF-003,"현재 시상면 정렬 목표(PI-LL, GAP 점수, 연령 보정 정렬)와 환자 보고 결과와의 상관관계는?",System D,2,1,5,2,1,11,19,0,No retrieved papers; high hallucination risk. Contains ~19 potentially unverifiable citations.
Gemini,DF-004,청소년 특발성 측만증에서 수술 vs 보존적 치료의 근거와 현재 수술 적응증은?,System A,2,1,5,2,1,11,13,0,No retrieved papers; high hallucination risk. Contains ~13 potentially unverifiable citations.
Gemini,DF-004,청소년 특발성 측만증에서 수술 vs 보존적 치료의 근거와 현재 수술 적응증은?,System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DF-004,청소년 특발성 측만증에서 수술 vs 보존적 치료의 근거와 현재 수술 적응증은?,System C,5,4,2,4,3,18,0,7,Mixed reliability.
Gemini,DF-004,청소년 특발성 측만증에서 수술 vs 보존적 치료의 근거와 현재 수술 적응증은?,System D,5,4,3,5,4,21,0,3,"Mostly reliable, minor unsupported claims."
Gemini,DF-005,"성인 척추 변형 교정에서 전방주 재건(ACR/ALIF)의 역할(시상면 정렬, 로드 골절 예방, 장기 내구성에 대한 효과 포함)은?",System A,5,4,3,5,4,21,0,3,"Mostly reliable, minor unsupported claims."
Gemini,DF-005,"성인 척추 변형 교정에서 전방주 재건(ACR/ALIF)의 역할(시상면 정렬, 로드 골절 예방, 장기 내구성에 대한 효과 포함)은?",System B,5,3,3,5,4,20,0,4,"Mostly reliable, minor unsupported claims."
Gemini,DF-005,"성인 척추 변형 교정에서 전방주 재건(ACR/ALIF)의 역할(시상면 정렬, 로드 골절 예방, 장기 내구성에 대한 효과 포함)은?",System C,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DF-005,"성인 척추 변형 교정에서 전방주 재건(ACR/ALIF)의 역할(시상면 정렬, 로드 골절 예방, 장기 내구성에 대한 효과 포함)은?",System D,2,1,5,2,1,11,26,0,No retrieved papers; high hallucination risk. Contains ~26 potentially unverifiable citations.
Gemini,DG-001,"요추 퇴행성 척추전방전위증에서 TLIF vs PLIF vs OLIF vs ALIF의 유합률, 시상면 정렬 회복, 합병증 프로파일 비교 근거는?",System A,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DG-001,"요추 퇴행성 척추전방전위증에서 TLIF vs PLIF vs OLIF vs ALIF의 유합률, 시상면 정렬 회복, 합병증 프로파일 비교 근거는?",System B,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,DG-001,"요추 퇴행성 척추전방전위증에서 TLIF vs PLIF vs OLIF vs ALIF의 유합률, 시상면 정렬 회복, 합병증 프로파일 비교 근거는?",System C,2,1,5,2,1,11,38,0,No retrieved papers; high hallucination risk. Contains ~38 potentially unverifiable citations.
Gemini,DG-001,"요추 퇴행성 척추전방전위증에서 TLIF vs PLIF vs OLIF vs ALIF의 유합률, 시상면 정렬 회복, 합병증 프로파일 비교 근거는?",System D,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DG-002,퇴행성 요추 척추전방전위증에서 감압술 단독 vs 감압+유합술의 근거와 유합술 추가 적응증은?,System A,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DG-002,퇴행성 요추 척추전방전위증에서 감압술 단독 vs 감압+유합술의 근거와 유합술 추가 적응증은?,System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DG-002,퇴행성 요추 척추전방전위증에서 감압술 단독 vs 감압+유합술의 근거와 유합술 추가 적응증은?,System C,2,1,4,2,1,10,10,1,No retrieved papers; high hallucination risk. Contains ~10 potentially unverifiable citations.
Gemini,DG-002,퇴행성 요추 척추전방전위증에서 감압술 단독 vs 감압+유합술의 근거와 유합술 추가 적응증은?,System D,5,4,4,5,5,23,0,2,All citations from database; well-grounded.
Gemini,DG-003,"요추 척추관 협착증에서 경막외 스테로이드 주사의 효과, 반복 주사의 영향, 수술 의뢰 최적 시점에 대한 현재 근거는?",System A,5,3,3,4,4,19,0,3,"Mostly reliable, minor unsupported claims."
Gemini,DG-003,"요추 척추관 협착증에서 경막외 스테로이드 주사의 효과, 반복 주사의 영향, 수술 의뢰 최적 시점에 대한 현재 근거는?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DG-003,"요추 척추관 협착증에서 경막외 스테로이드 주사의 효과, 반복 주사의 영향, 수술 의뢰 최적 시점에 대한 현재 근거는?",System C,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,DG-003,"요추 척추관 협착증에서 경막외 스테로이드 주사의 효과, 반복 주사의 영향, 수술 의뢰 최적 시점에 대한 현재 근거는?",System D,2,1,5,2,1,11,22,0,No retrieved papers; high hallucination risk. Contains ~22 potentially unverifiable citations.
Gemini,DG-004,"요추 추체간 유합술 후 케이지 침하의 위험인자와 케이지 디자인, 재료, 종판 준비가 침하율 및 임상 결과에 미치는 영향은?",System A,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DG-004,"요추 추체간 유합술 후 케이지 침하의 위험인자와 케이지 디자인, 재료, 종판 준비가 침하율 및 임상 결과에 미치는 영향은?",System B,2,1,5,2,1,11,35,0,No retrieved papers; high hallucination risk. Contains ~35 potentially unverifiable citations.
Gemini,DG-004,"요추 추체간 유합술 후 케이지 침하의 위험인자와 케이지 디자인, 재료, 종판 준비가 침하율 및 임상 결과에 미치는 영향은?",System C,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DG-004,"요추 추체간 유합술 후 케이지 침하의 위험인자와 케이지 디자인, 재료, 종판 준비가 침하율 및 임상 결과에 미치는 영향은?",System D,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 용량 의존적 합병증, 이소성 골화, 암 위험에 대한 근거는?",System A,5,4,3,4,4,20,0,4,"Mostly reliable, minor unsupported claims."
Gemini,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 용량 의존적 합병증, 이소성 골화, 암 위험에 대한 근거는?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 용량 의존적 합병증, 이소성 골화, 암 위험에 대한 근거는?",System C,3,1,4,2,1,11,0,2,No retrieved papers; high hallucination risk.
Gemini,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 용량 의존적 합병증, 이소성 골화, 암 위험에 대한 근거는?",System D,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DI-001,"로봇 보조 vs 프리핸드 및 네비게이션 척추경 나사못 삽입의 정확도, 임상 결과, 방사선 노출, 비용효과성 비교 근거는?",System A,5,4,4,5,5,23,0,1,All citations from database; well-grounded.
Gemini,DI-001,"로봇 보조 vs 프리핸드 및 네비게이션 척추경 나사못 삽입의 정확도, 임상 결과, 방사선 노출, 비용효과성 비교 근거는?",System B,2,1,5,2,1,11,26,0,No retrieved papers; high hallucination risk. Contains ~26 potentially unverifiable citations.
Gemini,DI-001,"로봇 보조 vs 프리핸드 및 네비게이션 척추경 나사못 삽입의 정확도, 임상 결과, 방사선 노출, 비용효과성 비교 근거는?",System C,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DI-001,"로봇 보조 vs 프리핸드 및 네비게이션 척추경 나사못 삽입의 정확도, 임상 결과, 방사선 노출, 비용효과성 비교 근거는?",System D,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DI-002,"척추 수술에서 수술 중 네비게이션 시스템(O-arm, CT 네비게이션)의 정확도, 방사선 노출, 임상 결과(투시 대비) 근거는?",System A,5,4,4,5,5,23,0,2,All citations from database; well-grounded.
Gemini,DI-002,"척추 수술에서 수술 중 네비게이션 시스템(O-arm, CT 네비게이션)의 정확도, 방사선 노출, 임상 결과(투시 대비) 근거는?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DI-002,"척추 수술에서 수술 중 네비게이션 시스템(O-arm, CT 네비게이션)의 정확도, 방사선 노출, 임상 결과(투시 대비) 근거는?",System C,2,1,5,2,1,11,24,0,No retrieved papers; high hallucination risk. Contains ~24 potentially unverifiable citations.
Gemini,DI-002,"척추 수술에서 수술 중 네비게이션 시스템(O-arm, CT 네비게이션)의 정확도, 방사선 노출, 임상 결과(투시 대비) 근거는?",System D,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DI-003,"척추 영상에서 인공지능 응용의 현재 근거(자동 Cobb 각도 측정, 협착 등급화, 골절 탐지 포함)는?",System A,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DI-003,"척추 영상에서 인공지능 응용의 현재 근거(자동 Cobb 각도 측정, 협착 등급화, 골절 탐지 포함)는?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DI-003,"척추 영상에서 인공지능 응용의 현재 근거(자동 Cobb 각도 측정, 협착 등급화, 골절 탐지 포함)는?",System C,2,1,4,2,1,10,18,1,No retrieved papers; high hallucination risk. Contains ~18 potentially unverifiable citations.
Gemini,DI-003,"척추 영상에서 인공지능 응용의 현재 근거(자동 Cobb 각도 측정, 협착 등급화, 골절 탐지 포함)는?",System D,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,DI-004,"척추 수술에서 증강현실(AR) 및 가상현실(VR) 응용의 수술 계획, 수술 중 가이드, 수술 교육에 대한 근거는?",System A,2,1,5,2,1,11,17,0,No retrieved papers; high hallucination risk. Contains ~17 potentially unverifiable citations.
Gemini,DI-004,"척추 수술에서 증강현실(AR) 및 가상현실(VR) 응용의 수술 계획, 수술 중 가이드, 수술 교육에 대한 근거는?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,DI-004,"척추 수술에서 증강현실(AR) 및 가상현실(VR) 응용의 수술 계획, 수술 중 가이드, 수술 교육에 대한 근거는?",System C,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,DI-004,"척추 수술에서 증강현실(AR) 및 가상현실(VR) 응용의 수술 계획, 수술 중 가이드, 수술 교육에 대한 근거는?",System D,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,DI-005,"척추 수술에서 머신러닝 기반 예측 모델의 합병증 예측, 환자 보고 결과 예측, 재입원 예측에 대한 근거는?",System A,2,1,2,2,1,8,6,10,No retrieved papers; high hallucination risk. Contains ~6 potentially unverifiable citations.
Gemini,DI-005,"척추 수술에서 머신러닝 기반 예측 모델의 합병증 예측, 환자 보고 결과 예측, 재입원 예측에 대한 근거는?",System B,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,DI-005,"척추 수술에서 머신러닝 기반 예측 모델의 합병증 예측, 환자 보고 결과 예측, 재입원 예측에 대한 근거는?",System C,5,4,1,4,3,17,0,11,Mixed reliability.
Gemini,DI-005,"척추 수술에서 머신러닝 기반 예측 모델의 합병증 예측, 환자 보고 결과 예측, 재입원 예측에 대한 근거는?",System D,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,MIS-001,"요추 척추관 협착증에서 UBE(이중포탈 내시경) vs 기존 감압술의 임상 결과, 합병증, 학습 곡선 비교 근거는?",System A,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,MIS-001,"요추 척추관 협착증에서 UBE(이중포탈 내시경) vs 기존 감압술의 임상 결과, 합병증, 학습 곡선 비교 근거는?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,MIS-001,"요추 척추관 협착증에서 UBE(이중포탈 내시경) vs 기존 감압술의 임상 결과, 합병증, 학습 곡선 비교 근거는?",System C,5,3,3,5,4,20,0,5,"Mostly reliable, minor unsupported claims."
Gemini,MIS-001,"요추 척추관 협착증에서 UBE(이중포탈 내시경) vs 기존 감압술의 임상 결과, 합병증, 학습 곡선 비교 근거는?",System D,2,1,5,2,1,11,14,0,No retrieved papers; high hallucination risk. Contains ~14 potentially unverifiable citations.
Gemini,MIS-002,"요추 추간판 탈출증에서 전내시경 추간판절제술(FELD/PELD) vs 미세현미경 추간판절제술의 재발률, 회복 시간, 환자 선택 비교 근거는?",System A,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,MIS-002,"요추 추간판 탈출증에서 전내시경 추간판절제술(FELD/PELD) vs 미세현미경 추간판절제술의 재발률, 회복 시간, 환자 선택 비교 근거는?",System B,2,1,5,2,1,11,26,0,No retrieved papers; high hallucination risk. Contains ~26 potentially unverifiable citations.
Gemini,MIS-002,"요추 추간판 탈출증에서 전내시경 추간판절제술(FELD/PELD) vs 미세현미경 추간판절제술의 재발률, 회복 시간, 환자 선택 비교 근거는?",System C,5,3,3,4,4,19,0,4,"Mostly reliable, minor unsupported claims."
Gemini,MIS-002,"요추 추간판 탈출증에서 전내시경 추간판절제술(FELD/PELD) vs 미세현미경 추간판절제술의 재발률, 회복 시간, 환자 선택 비교 근거는?",System D,5,4,3,5,4,21,0,3,"Mostly reliable, minor unsupported claims."
Gemini,MIS-003,"요추 퇴행성 질환에서 MIS-TLIF vs 개방형 TLIF의 주수술기 이환율, 유합률, 장기 임상 결과 비교는?",System A,5,3,4,4,5,21,0,2,All citations from database; well-grounded.
Gemini,MIS-003,"요추 퇴행성 질환에서 MIS-TLIF vs 개방형 TLIF의 주수술기 이환율, 유합률, 장기 임상 결과 비교는?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,MIS-003,"요추 퇴행성 질환에서 MIS-TLIF vs 개방형 TLIF의 주수술기 이환율, 유합률, 장기 임상 결과 비교는?",System C,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,MIS-003,"요추 퇴행성 질환에서 MIS-TLIF vs 개방형 TLIF의 주수술기 이환율, 유합률, 장기 임상 결과 비교는?",System D,2,1,4,2,1,10,35,2,No retrieved papers; high hallucination risk. Contains ~35 potentially unverifiable citations.
Gemini,MIS-004,"측방 요추 추체간 유합술(OLIF/LLIF)의 적응증, 결과, 합병증(요근 손상률 및 침하 포함)은?",System A,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,MIS-004,"측방 요추 추체간 유합술(OLIF/LLIF)의 적응증, 결과, 합병증(요근 손상률 및 침하 포함)은?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,MIS-004,"측방 요추 추체간 유합술(OLIF/LLIF)의 적응증, 결과, 합병증(요근 손상률 및 침하 포함)은?",System C,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,MIS-004,"측방 요추 추체간 유합술(OLIF/LLIF)의 적응증, 결과, 합병증(요근 손상률 및 침하 포함)은?",System D,2,1,5,2,1,11,16,0,No retrieved papers; high hallucination risk. Contains ~16 potentially unverifiable citations.
Gemini,MIS-005,"최소침습 척추 수술의 학습 곡선에 대한 근거(숙련도 도달에 필요한 증례 수, 경험에 따른 합병증률 변화 포함)는?",System A,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,MIS-005,"최소침습 척추 수술의 학습 곡선에 대한 근거(숙련도 도달에 필요한 증례 수, 경험에 따른 합병증률 변화 포함)는?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,MIS-005,"최소침습 척추 수술의 학습 곡선에 대한 근거(숙련도 도달에 필요한 증례 수, 경험에 따른 합병증률 변화 포함)는?",System C,2,1,5,2,1,11,26,0,No retrieved papers; high hallucination risk. Contains ~26 potentially unverifiable citations.
Gemini,MIS-005,"최소침습 척추 수술의 학습 곡선에 대한 근거(숙련도 도달에 필요한 증례 수, 경험에 따른 합병증률 변화 포함)는?",System D,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,TR-001,"흉요추부 방출 골절에서 단분절 vs 장분절 후방 고정의 후만 교정, 실패율, 기능적 결과 비교 근거는?",System A,2,1,4,2,1,10,12,1,No retrieved papers; high hallucination risk. Contains ~12 potentially unverifiable citations.
Gemini,TR-001,"흉요추부 방출 골절에서 단분절 vs 장분절 후방 고정의 후만 교정, 실패율, 기능적 결과 비교 근거는?",System B,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,TR-001,"흉요추부 방출 골절에서 단분절 vs 장분절 후방 고정의 후만 교정, 실패율, 기능적 결과 비교 근거는?",System C,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,TR-001,"흉요추부 방출 골절에서 단분절 vs 장분절 후방 고정의 후만 교정, 실패율, 기능적 결과 비교 근거는?",System D,5,4,3,4,4,20,0,5,"Mostly reliable, minor unsupported claims."
