judge,query_id,question_kr,system,H1_fabricated_ref,H2_misattributed,H3_unsupported,H4_numerical,H5_overall_risk,total,fabricated_count,unsupported_count,comment
GPT,BS-004,"전임상 및 임상 연구에서 척수 재생 전략(스캐폴드, 신경영양인자, 신경보호제 포함)에 대한 현재 근거는?",System A,5,5,3,4,4,21,0,4,10 papers retrieved; some uncited synthesis; generally reliable
GPT,BS-004,"전임상 및 임상 연구에서 척수 재생 전략(스캐폴드, 신경영양인자, 신경보호제 포함)에 대한 현재 근거는?",System B,1,2,1,2,2,8,33,20,LLM-only; 33 unverifiable author-year citations; high hallucination risk
GPT,BS-004,"전임상 및 임상 연구에서 척수 재생 전략(스캐폴드, 신경영양인자, 신경보호제 포함)에 대한 현재 근거는?",System C,5,5,2,4,3,19,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,BS-004,"전임상 및 임상 연구에서 척수 재생 전략(스캐폴드, 신경영양인자, 신경보호제 포함)에 대한 현재 근거는?",System D,5,5,3,4,4,21,0,4,10 papers retrieved; some uncited synthesis; generally reliable
GPT,BS-005,"요추 추체간 유합에서 케이지 재료, 디자인, 크기가 생역학적 성능, 침하 위험, 유합 결과에 미치는 영향에 대한 근거는?",System A,5,5,3,4,4,21,0,4,10 papers retrieved; some uncited synthesis; generally reliable
GPT,BS-005,"요추 추체간 유합에서 케이지 재료, 디자인, 크기가 생역학적 성능, 침하 위험, 유합 결과에 미치는 영향에 대한 근거는?",System B,3,4,1,2,2,12,1,20,LLM-only; 1 unverifiable author-year citations; high hallucination risk
GPT,BS-005,"요추 추체간 유합에서 케이지 재료, 디자인, 크기가 생역학적 성능, 침하 위험, 유합 결과에 미치는 영향에 대한 근거는?",System C,5,5,4,5,5,24,0,2,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,BS-005,"요추 추체간 유합에서 케이지 재료, 디자인, 크기가 생역학적 성능, 침하 위험, 유합 결과에 미치는 영향에 대한 근거는?",System D,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,CV-001,"1-2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행, 재수술률, 운동범위 보존 비교 근거는?",System A,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,CV-001,"1-2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행, 재수술률, 운동범위 보존 비교 근거는?",System B,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,CV-001,"1-2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행, 재수술률, 운동범위 보존 비교 근거는?",System C,4,4,1,2,2,13,0,20,LLM-only; no verifiable citations in answer body; high hallucination risk
GPT,CV-001,"1-2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행, 재수술률, 운동범위 보존 비교 근거는?",System D,5,5,2,4,3,19,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,CV-002,"다분절 경추 척추증성 척수증에 대한 최적 수술 접근법(전방, 후방, 복합)과 접근법 선택을 결정하는 요인은?",System A,1,2,1,2,2,8,14,20,LLM-only; 14 unverifiable author-year citations; high hallucination risk
GPT,CV-002,"다분절 경추 척추증성 척수증에 대한 최적 수술 접근법(전방, 후방, 복합)과 접근법 선택을 결정하는 요인은?",System B,5,5,4,4,4,22,0,2,9 papers retrieved; claims mostly grounded; generally reliable
GPT,CV-002,"다분절 경추 척추증성 척수증에 대한 최적 수술 접근법(전방, 후방, 복합)과 접근법 선택을 결정하는 요인은?",System C,4,3,2,3,3,15,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,CV-002,"다분절 경추 척추증성 척수증에 대한 최적 수술 접근법(전방, 후방, 복합)과 접근법 선택을 결정하는 요인은?",System D,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,CV-003,"다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 비교 결과(C5 마비율, 운동범위, OPLL 고려사항 포함)는?",System A,5,5,5,4,5,24,0,0,8 papers retrieved; claims mostly grounded; low hallucination risk
GPT,CV-003,"다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 비교 결과(C5 마비율, 운동범위, OPLL 고려사항 포함)는?",System B,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,CV-003,"다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 비교 결과(C5 마비율, 운동범위, OPLL 고려사항 포함)는?",System C,5,5,2,4,3,19,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,CV-003,"다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 비교 결과(C5 마비율, 운동범위, OPLL 고려사항 포함)는?",System D,1,2,1,2,2,8,14,20,LLM-only; 14 unverifiable author-year citations; high hallucination risk
GPT,CV-004,하부 경추 손상의 수술적 관리에서 전방 vs 후방 접근법의 신경학적 회복 및 안정성 비교 근거는?,System A,5,5,3,4,4,21,0,4,10 papers retrieved; some uncited synthesis; generally reliable
GPT,CV-004,하부 경추 손상의 수술적 관리에서 전방 vs 후방 접근법의 신경학적 회복 및 안정성 비교 근거는?,System B,1,2,1,2,2,8,20,19,LLM-only; 20 unverifiable author-year citations; high hallucination risk
GPT,CV-004,하부 경추 손상의 수술적 관리에서 전방 vs 후방 접근법의 신경학적 회복 및 안정성 비교 근거는?,System C,5,5,4,4,4,22,0,2,8 papers retrieved; claims mostly grounded; generally reliable
GPT,CV-004,하부 경추 손상의 수술적 관리에서 전방 vs 후방 접근법의 신경학적 회복 및 안정성 비교 근거는?,System D,5,5,2,4,3,19,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,CV-005,"경추 유합술 후 인접분절 질환의 발생률, 위험인자, 예방 전략은?",System A,2,2,1,2,2,9,4,20,LLM-only; 4 unverifiable author-year citations; high hallucination risk
GPT,CV-005,"경추 유합술 후 인접분절 질환의 발생률, 위험인자, 예방 전략은?",System B,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,CV-005,"경추 유합술 후 인접분절 질환의 발생률, 위험인자, 예방 전략은?",System C,4,3,2,3,3,15,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,CV-005,"경추 유합술 후 인접분절 질환의 발생률, 위험인자, 예방 전략은?",System D,5,5,4,4,4,22,0,2,5 papers retrieved; claims mostly grounded; generally reliable
GPT,DF-001,"성인 척추 변형 수술 후 근위부 접합부 후만증(PJK) 및 근위부 접합부 실패(PJF)의 발생률, 위험인자, 예방 전략은?",System A,1,2,1,2,2,8,35,20,LLM-only; 35 unverifiable author-year citations; high hallucination risk
GPT,DF-001,"성인 척추 변형 수술 후 근위부 접합부 후만증(PJK) 및 근위부 접합부 실패(PJF)의 발생률, 위험인자, 예방 전략은?",System B,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,DF-001,"성인 척추 변형 수술 후 근위부 접합부 후만증(PJK) 및 근위부 접합부 실패(PJF)의 발생률, 위험인자, 예방 전략은?",System C,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,DF-001,"성인 척추 변형 수술 후 근위부 접합부 후만증(PJK) 및 근위부 접합부 실패(PJF)의 발생률, 위험인자, 예방 전략은?",System D,5,5,2,4,3,19,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,DF-002,"고정된 시상면 불균형에서 척추경 감산 절골술(PSO) vs 척추주 절제술(VCR)의 교정량, 합병증률, 재수술 비교 결과는?",System A,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,DF-002,"고정된 시상면 불균형에서 척추경 감산 절골술(PSO) vs 척추주 절제술(VCR)의 교정량, 합병증률, 재수술 비교 결과는?",System B,1,2,1,2,2,8,16,20,LLM-only; 16 unverifiable author-year citations; high hallucination risk
GPT,DF-002,"고정된 시상면 불균형에서 척추경 감산 절골술(PSO) vs 척추주 절제술(VCR)의 교정량, 합병증률, 재수술 비교 결과는?",System C,5,5,3,4,3,20,0,5,3 papers retrieved; some uncited synthesis; moderate verification needed
GPT,DF-002,"고정된 시상면 불균형에서 척추경 감산 절골술(PSO) vs 척추주 절제술(VCR)의 교정량, 합병증률, 재수술 비교 결과는?",System D,5,5,2,4,3,19,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,DF-003,"현재 시상면 정렬 목표(PI-LL, GAP 점수, 연령 보정 정렬)와 환자 보고 결과와의 상관관계는?",System A,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,DF-003,"현재 시상면 정렬 목표(PI-LL, GAP 점수, 연령 보정 정렬)와 환자 보고 결과와의 상관관계는?",System B,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,DF-003,"현재 시상면 정렬 목표(PI-LL, GAP 점수, 연령 보정 정렬)와 환자 보고 결과와의 상관관계는?",System C,5,5,3,4,4,21,0,4,10 papers retrieved; some uncited synthesis; generally reliable
GPT,DF-003,"현재 시상면 정렬 목표(PI-LL, GAP 점수, 연령 보정 정렬)와 환자 보고 결과와의 상관관계는?",System D,1,2,1,2,2,8,14,20,LLM-only; 14 unverifiable author-year citations; high hallucination risk
GPT,DF-004,청소년 특발성 측만증에서 수술 vs 보존적 치료의 근거와 현재 수술 적응증은?,System A,1,2,1,2,2,8,13,20,LLM-only; 13 unverifiable author-year citations; high hallucination risk
GPT,DF-004,청소년 특발성 측만증에서 수술 vs 보존적 치료의 근거와 현재 수술 적응증은?,System B,5,5,3,4,3,20,0,5,10 papers retrieved; some uncited synthesis; moderate verification needed
GPT,DF-004,청소년 특발성 측만증에서 수술 vs 보존적 치료의 근거와 현재 수술 적응증은?,System C,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,DF-004,청소년 특발성 측만증에서 수술 vs 보존적 치료의 근거와 현재 수술 적응증은?,System D,4,4,2,3,3,16,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,DF-005,"성인 척추 변형 교정에서 전방주 재건(ACR/ALIF)의 역할(시상면 정렬, 로드 골절 예방, 장기 내구성에 대한 효과 포함)은?",System A,5,5,2,4,3,19,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,DF-005,"성인 척추 변형 교정에서 전방주 재건(ACR/ALIF)의 역할(시상면 정렬, 로드 골절 예방, 장기 내구성에 대한 효과 포함)은?",System B,5,5,4,4,4,22,0,2,4 papers retrieved; claims mostly grounded; generally reliable
GPT,DF-005,"성인 척추 변형 교정에서 전방주 재건(ACR/ALIF)의 역할(시상면 정렬, 로드 골절 예방, 장기 내구성에 대한 효과 포함)은?",System C,4,3,3,3,3,16,0,4,10 papers retrieved; some uncited synthesis; moderate verification needed
GPT,DF-005,"성인 척추 변형 교정에서 전방주 재건(ACR/ALIF)의 역할(시상면 정렬, 로드 골절 예방, 장기 내구성에 대한 효과 포함)은?",System D,1,2,1,2,2,8,22,20,LLM-only; 22 unverifiable author-year citations; high hallucination risk
GPT,DG-001,"요추 퇴행성 척추전방전위증에서 TLIF vs PLIF vs OLIF vs ALIF의 유합률, 시상면 정렬 회복, 합병증 프로파일 비교 근거는?",System A,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,DG-001,"요추 퇴행성 척추전방전위증에서 TLIF vs PLIF vs OLIF vs ALIF의 유합률, 시상면 정렬 회복, 합병증 프로파일 비교 근거는?",System B,4,3,3,3,3,16,0,4,10 papers retrieved; some uncited synthesis; moderate verification needed
GPT,DG-001,"요추 퇴행성 척추전방전위증에서 TLIF vs PLIF vs OLIF vs ALIF의 유합률, 시상면 정렬 회복, 합병증 프로파일 비교 근거는?",System C,1,2,1,2,2,8,20,20,LLM-only; 20 unverifiable author-year citations; high hallucination risk
GPT,DG-001,"요추 퇴행성 척추전방전위증에서 TLIF vs PLIF vs OLIF vs ALIF의 유합률, 시상면 정렬 회복, 합병증 프로파일 비교 근거는?",System D,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,DG-002,퇴행성 요추 척추전방전위증에서 감압술 단독 vs 감압+유합술의 근거와 유합술 추가 적응증은?,System A,4,3,4,2,3,16,0,2,10 papers retrieved; claims mostly grounded; moderate verification needed
GPT,DG-002,퇴행성 요추 척추전방전위증에서 감압술 단독 vs 감압+유합술의 근거와 유합술 추가 적응증은?,System B,5,5,5,4,5,24,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,DG-002,퇴행성 요추 척추전방전위증에서 감압술 단독 vs 감압+유합술의 근거와 유합술 추가 적응증은?,System C,1,2,1,2,2,8,9,20,LLM-only; 9 unverifiable author-year citations; high hallucination risk
GPT,DG-002,퇴행성 요추 척추전방전위증에서 감압술 단독 vs 감압+유합술의 근거와 유합술 추가 적응증은?,System D,5,5,2,4,3,19,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,DG-003,"요추 척추관 협착증에서 경막외 스테로이드 주사의 효과, 반복 주사의 영향, 수술 의뢰 최적 시점에 대한 현재 근거는?",System A,5,5,5,4,5,24,0,0,6 papers retrieved; claims mostly grounded; low hallucination risk
GPT,DG-003,"요추 척추관 협착증에서 경막외 스테로이드 주사의 효과, 반복 주사의 영향, 수술 의뢰 최적 시점에 대한 현재 근거는?",System B,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,DG-003,"요추 척추관 협착증에서 경막외 스테로이드 주사의 효과, 반복 주사의 영향, 수술 의뢰 최적 시점에 대한 현재 근거는?",System C,4,3,3,3,3,16,0,4,10 papers retrieved; some uncited synthesis; moderate verification needed
GPT,DG-003,"요추 척추관 협착증에서 경막외 스테로이드 주사의 효과, 반복 주사의 영향, 수술 의뢰 최적 시점에 대한 현재 근거는?",System D,1,2,1,2,2,8,21,20,LLM-only; 21 unverifiable author-year citations; high hallucination risk
GPT,DG-004,"요추 추체간 유합술 후 케이지 침하의 위험인자와 케이지 디자인, 재료, 종판 준비가 침하율 및 임상 결과에 미치는 영향은?",System A,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,DG-004,"요추 추체간 유합술 후 케이지 침하의 위험인자와 케이지 디자인, 재료, 종판 준비가 침하율 및 임상 결과에 미치는 영향은?",System B,1,2,1,2,2,8,33,20,LLM-only; 33 unverifiable author-year citations; high hallucination risk
GPT,DG-004,"요추 추체간 유합술 후 케이지 침하의 위험인자와 케이지 디자인, 재료, 종판 준비가 침하율 및 임상 결과에 미치는 영향은?",System C,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,DG-004,"요추 추체간 유합술 후 케이지 침하의 위험인자와 케이지 디자인, 재료, 종판 준비가 침하율 및 임상 결과에 미치는 영향은?",System D,5,5,2,4,3,19,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 용량 의존적 합병증, 이소성 골화, 암 위험에 대한 근거는?",System A,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 용량 의존적 합병증, 이소성 골화, 암 위험에 대한 근거는?",System B,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 용량 의존적 합병증, 이소성 골화, 암 위험에 대한 근거는?",System C,4,4,1,2,2,13,0,20,LLM-only; no verifiable citations in answer body; high hallucination risk
GPT,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 용량 의존적 합병증, 이소성 골화, 암 위험에 대한 근거는?",System D,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,DI-001,"로봇 보조 vs 프리핸드 및 네비게이션 척추경 나사못 삽입의 정확도, 임상 결과, 방사선 노출, 비용효과성 비교 근거는?",System A,4,3,3,3,3,16,0,4,10 papers retrieved; some uncited synthesis; moderate verification needed
GPT,DI-001,"로봇 보조 vs 프리핸드 및 네비게이션 척추경 나사못 삽입의 정확도, 임상 결과, 방사선 노출, 비용효과성 비교 근거는?",System B,1,2,1,2,2,8,26,20,LLM-only; 26 unverifiable author-year citations; high hallucination risk
GPT,DI-001,"로봇 보조 vs 프리핸드 및 네비게이션 척추경 나사못 삽입의 정확도, 임상 결과, 방사선 노출, 비용효과성 비교 근거는?",System C,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,DI-001,"로봇 보조 vs 프리핸드 및 네비게이션 척추경 나사못 삽입의 정확도, 임상 결과, 방사선 노출, 비용효과성 비교 근거는?",System D,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,DI-002,"척추 수술에서 수술 중 네비게이션 시스템(O-arm, CT 네비게이션)의 정확도, 방사선 노출, 임상 결과(투시 대비) 근거는?",System A,4,3,2,2,3,14,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,DI-002,"척추 수술에서 수술 중 네비게이션 시스템(O-arm, CT 네비게이션)의 정확도, 방사선 노출, 임상 결과(투시 대비) 근거는?",System B,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,DI-002,"척추 수술에서 수술 중 네비게이션 시스템(O-arm, CT 네비게이션)의 정확도, 방사선 노출, 임상 결과(투시 대비) 근거는?",System C,1,2,1,2,2,8,23,20,LLM-only; 23 unverifiable author-year citations; high hallucination risk
GPT,DI-002,"척추 수술에서 수술 중 네비게이션 시스템(O-arm, CT 네비게이션)의 정확도, 방사선 노출, 임상 결과(투시 대비) 근거는?",System D,4,4,3,4,4,19,0,4,10 papers retrieved; some uncited synthesis; generally reliable
GPT,DI-003,"척추 영상에서 인공지능 응용의 현재 근거(자동 Cobb 각도 측정, 협착 등급화, 골절 탐지 포함)는?",System A,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,DI-003,"척추 영상에서 인공지능 응용의 현재 근거(자동 Cobb 각도 측정, 협착 등급화, 골절 탐지 포함)는?",System B,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,DI-003,"척추 영상에서 인공지능 응용의 현재 근거(자동 Cobb 각도 측정, 협착 등급화, 골절 탐지 포함)는?",System C,1,2,1,2,2,8,17,18,LLM-only; 17 unverifiable author-year citations; high hallucination risk
GPT,DI-003,"척추 영상에서 인공지능 응용의 현재 근거(자동 Cobb 각도 측정, 협착 등급화, 골절 탐지 포함)는?",System D,5,5,3,4,4,21,0,4,10 papers retrieved; some uncited synthesis; generally reliable
GPT,DI-004,"척추 수술에서 증강현실(AR) 및 가상현실(VR) 응용의 수술 계획, 수술 중 가이드, 수술 교육에 대한 근거는?",System A,1,2,1,2,2,8,17,20,LLM-only; 17 unverifiable author-year citations; high hallucination risk
GPT,DI-004,"척추 수술에서 증강현실(AR) 및 가상현실(VR) 응용의 수술 계획, 수술 중 가이드, 수술 교육에 대한 근거는?",System B,4,4,3,4,4,19,0,4,10 papers retrieved; some uncited synthesis; generally reliable
GPT,DI-004,"척추 수술에서 증강현실(AR) 및 가상현실(VR) 응용의 수술 계획, 수술 중 가이드, 수술 교육에 대한 근거는?",System C,5,5,3,4,4,21,0,4,10 papers retrieved; some uncited synthesis; generally reliable
GPT,DI-004,"척추 수술에서 증강현실(AR) 및 가상현실(VR) 응용의 수술 계획, 수술 중 가이드, 수술 교육에 대한 근거는?",System D,5,3,3,3,4,18,0,4,3 papers retrieved; some uncited synthesis; generally reliable
GPT,DI-005,"척추 수술에서 머신러닝 기반 예측 모델의 합병증 예측, 환자 보고 결과 예측, 재입원 예측에 대한 근거는?",System A,2,2,1,2,2,9,4,20,LLM-only; 4 unverifiable author-year citations; high hallucination risk
GPT,DI-005,"척추 수술에서 머신러닝 기반 예측 모델의 합병증 예측, 환자 보고 결과 예측, 재입원 예측에 대한 근거는?",System B,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,DI-005,"척추 수술에서 머신러닝 기반 예측 모델의 합병증 예측, 환자 보고 결과 예측, 재입원 예측에 대한 근거는?",System C,4,4,4,4,4,20,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,DI-005,"척추 수술에서 머신러닝 기반 예측 모델의 합병증 예측, 환자 보고 결과 예측, 재입원 예측에 대한 근거는?",System D,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,MIS-001,"요추 척추관 협착증에서 UBE(이중포탈 내시경) vs 기존 감압술의 임상 결과, 합병증, 학습 곡선 비교 근거는?",System A,4,3,4,3,4,18,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,MIS-001,"요추 척추관 협착증에서 UBE(이중포탈 내시경) vs 기존 감압술의 임상 결과, 합병증, 학습 곡선 비교 근거는?",System B,5,5,5,4,5,24,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,MIS-001,"요추 척추관 협착증에서 UBE(이중포탈 내시경) vs 기존 감압술의 임상 결과, 합병증, 학습 곡선 비교 근거는?",System C,4,3,3,3,3,16,0,4,10 papers retrieved; some uncited synthesis; moderate verification needed
GPT,MIS-001,"요추 척추관 협착증에서 UBE(이중포탈 내시경) vs 기존 감압술의 임상 결과, 합병증, 학습 곡선 비교 근거는?",System D,1,2,1,2,2,8,12,20,LLM-only; 12 unverifiable author-year citations; high hallucination risk
GPT,MIS-002,"요추 추간판 탈출증에서 전내시경 추간판절제술(FELD/PELD) vs 미세현미경 추간판절제술의 재발률, 회복 시간, 환자 선택 비교 근거는?",System A,5,5,5,4,5,24,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,MIS-002,"요추 추간판 탈출증에서 전내시경 추간판절제술(FELD/PELD) vs 미세현미경 추간판절제술의 재발률, 회복 시간, 환자 선택 비교 근거는?",System B,1,2,1,2,2,8,24,20,LLM-only; 24 unverifiable author-year citations; high hallucination risk
GPT,MIS-002,"요추 추간판 탈출증에서 전내시경 추간판절제술(FELD/PELD) vs 미세현미경 추간판절제술의 재발률, 회복 시간, 환자 선택 비교 근거는?",System C,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,MIS-002,"요추 추간판 탈출증에서 전내시경 추간판절제술(FELD/PELD) vs 미세현미경 추간판절제술의 재발률, 회복 시간, 환자 선택 비교 근거는?",System D,4,4,2,3,3,16,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,MIS-003,"요추 퇴행성 질환에서 MIS-TLIF vs 개방형 TLIF의 주수술기 이환율, 유합률, 장기 임상 결과 비교는?",System A,5,5,4,4,4,22,0,2,6 papers retrieved; claims mostly grounded; generally reliable
GPT,MIS-003,"요추 퇴행성 질환에서 MIS-TLIF vs 개방형 TLIF의 주수술기 이환율, 유합률, 장기 임상 결과 비교는?",System B,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,MIS-003,"요추 퇴행성 질환에서 MIS-TLIF vs 개방형 TLIF의 주수술기 이환율, 유합률, 장기 임상 결과 비교는?",System C,4,3,3,3,3,16,0,4,10 papers retrieved; some uncited synthesis; moderate verification needed
GPT,MIS-003,"요추 퇴행성 질환에서 MIS-TLIF vs 개방형 TLIF의 주수술기 이환율, 유합률, 장기 임상 결과 비교는?",System D,1,2,1,2,2,8,34,20,LLM-only; 34 unverifiable author-year citations; high hallucination risk
GPT,MIS-004,"측방 요추 추체간 유합술(OLIF/LLIF)의 적응증, 결과, 합병증(요근 손상률 및 침하 포함)은?",System A,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,MIS-004,"측방 요추 추체간 유합술(OLIF/LLIF)의 적응증, 결과, 합병증(요근 손상률 및 침하 포함)은?",System B,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,MIS-004,"측방 요추 추체간 유합술(OLIF/LLIF)의 적응증, 결과, 합병증(요근 손상률 및 침하 포함)은?",System C,5,5,2,4,3,19,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,MIS-004,"측방 요추 추체간 유합술(OLIF/LLIF)의 적응증, 결과, 합병증(요근 손상률 및 침하 포함)은?",System D,1,2,1,2,2,8,14,20,LLM-only; 14 unverifiable author-year citations; high hallucination risk
GPT,MIS-005,"최소침습 척추 수술의 학습 곡선에 대한 근거(숙련도 도달에 필요한 증례 수, 경험에 따른 합병증률 변화 포함)는?",System A,5,5,2,4,3,19,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
